"id","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","HEIGHT","TEMP"
"Khani1",284244.925733107,4092459.93226854,2012-06-10 07:30:44,12.0157152775791,-18.070782172028,21.7009350476133,10800,0,-0.984000444970419,NA,3299.19,30
"Khani1",284256.941448385,4092441.86148637,2012-06-10 10:30:44,-3.70324201422045,-5.45738997450098,6.59523363874786,10800,470.930581940733,-2.16699711206375,-1.18299666709333,3286.91,37
"Khani1",284253.238206371,4092436.40409639,2012-06-10 13:30:44,-64.9954567285022,37.183909281157,74.8802544385094,10800,622.672096310754,2.62194043351673,-1.4942477615991,3301.74,18
"Khani1",284188.242749642,4092473.58800567,2012-06-10 16:30:44,16.2270598022151,7.35932361939922,17.8178874718557,10819,3399.43977119979,0.425778705331577,-2.19616172818516,3299.35,19
"Khani1",284204.469809445,4092480.94732929,2012-06-10 19:31:03,3.59032395592658,1.0189640969038,3.73211922897424,10789,2078.31453791615,0.276536727883586,-0.149241977447991,3299.89,14
"Khani1",284208.0601334,4092481.96629339,2012-06-10 22:30:52,445.508024690964,-563.15074821189,718.064179078484,10792,1844.57069288834,-0.901506404264131,-1.17804313214772,3325.24,13
"Khani1",284653.568158091,4091918.81554518,2012-06-11 01:30:44,197.16015008348,-1186.37471696641,1202.64587216607,10844,459795.939797674,-1.40611431043415,-0.504607906170019,3205.59,13
"Khani1",284850.728308175,4090732.44082821,2012-06-11 04:31:28,35.5437721484341,-215.190946708899,218.106632829018,10765,3351223.43636268,-1.4071011262711,-0.000986815836953703,3205.39,13
"Khani1",284886.272080323,4090517.2498815,2012-06-11 07:30:53,63.1381100128638,29.4884328292683,69.6849238122763,10804,4185339.99398809,0.43693901524814,1.84404014151924,3204.75,21
"Khani1",284949.410190336,4090546.73831433,2012-06-11 10:30:57,-14.7767085941741,14.8084971709177,20.9199116952777,10888,4156609.4568911,2.35512001517389,1.91818099992575,3355.99,34
"Khani1",284934.633481742,4090561.5468115,2012-06-11 13:32:25,156.16540992714,-1154.23421929497,1164.7507322381,10715,4079564.12201267,-1.43631509014546,2.49175020186023,3369.31,20
"Khani1",285090.798891669,4089407.31259221,2012-06-11 16:31:00,3.25777076487429,-751.758968384471,751.766027176568,10799,10033988.2886987,-1.56646282296053,-0.13014773281507,3431.47,20
"Khani1",285094.056662434,4088655.55362382,2012-06-11 19:30:59,-101.223706489429,-582.568116328213,591.29675199316,10785,15194320.2075066,-1.74283303946534,-0.176370216504809,3590.11,14
"Khani1",284992.832955945,4088072.98550749,2012-06-11 22:30:44,-147.214621684048,-145.052783060819,206.66991728664,10800,19804667.0982042,-2.36359113847733,-0.620758099011988,3797.81,9
"Khani1",284845.618334261,4087927.93272443,2012-06-12 01:30:44,0.0281080980203114,1.10959314228967,1.10994910090084,10800,20899851.468844,1.54546984730026,-2.374124321402,3902.48,11
"Khani1",284845.646442359,4087929.04231757,2012-06-12 04:30:44,3.67642059427453,4.34809066541493,5.69402852299445,10827,20889829.1182541,0.868905808913215,-0.676564038387047,3895.78,12
"Khani1",284849.322862953,4087933.39040824,2012-06-12 07:31:11,-39.2968135874253,-37.8651532703079,54.5711406359512,10795,20854877.1035851,-2.37474632507323,3.03953317319314,3892.73,19
"Khani1",284810.026049365,4087895.52525497,2012-06-12 10:31:06,154.773411820643,-49.4423611839302,162.478786572415,10809,21153149.752936,-0.309203922836795,2.06554240223644,3892.27,35
"Khani1",284964.799461186,4087846.08289379,2012-06-12 13:31:15,89.7691610954935,129.853855750524,157.862364536537,10818,21805824.2372689,0.965926980502437,1.27513090333923,3853.91,25
"Khani1",285054.568622282,4087975.93674954,2012-06-12 16:31:33,111.690506911487,185.925531093497,216.894150328089,10801,20761737.4224074,1.02984235854544,0.0639153780430054,3809.28,19
"Khani1",285166.259129193,4088161.86228063,2012-06-12 19:31:34,-19.2204538607039,226.988053600769,227.800356286107,10750,19322260.8476901,1.65527087540429,0.625428516858849,3808.69,16
"Khani1",285147.038675332,4088388.85033423,2012-06-12 22:30:44,709.630554926931,352.915101029444,792.543117451995,10800,17387515.8763648,0.461503156875125,-1.19376771852917,3620.33,13
"Khani1",285856.669230259,4088741.76543526,2012-06-13 01:30:44,19.2362114142161,-14.9189738705754,24.3435332464975,10837,16422481.7006913,-0.659664308110759,-1.12116746498588,3669.68,10
"Khani1",285875.905441673,4088726.84646139,2012-06-13 04:31:21,-119.589150777727,-287.881552010309,311.732823057826,10757,16596024.4532798,-1.96451701516412,-1.30485270705336,3644.39,10
"Khani1",285756.316290896,4088438.96490938,2012-06-13 07:30:38,3.36780525796348,-7.85705017112195,8.54841211261448,10806,18452479.9215837,-1.16585098990763,0.798666025256494,3725.43,16
"Khani1",285759.684096154,4088431.10785921,2012-06-13 10:30:44,9.53005746088456,59.7156554246321,60.4713279000979,10800,18525919.0196227,1.41254026807487,2.5783912579825,3721.43,33
"Khani1",285769.214153615,4088490.82351463,2012-06-13 13:30:44,-70.4271186395781,-105.921922166366,127.198398713549,10800,18077279.4892114,-2.15757245062653,2.71307258847819,3747.25,30
"Khani1",285698.787034975,4088384.90159247,2012-06-13 16:30:44,-39.1788433350157,-33.4304762296379,51.5031892799862,10800,18719587.6959845,-2.43519815708356,-0.277625706457031,3737.3,21
"Khani1",285659.60819164,4088351.47111624,2012-06-13 19:30:44,9.80044255591929,-0.247353814076632,9.80356354603835,21600,18880779.49844,-0.0252336882232643,2.4099644688603,3756.72,9
