id,alt,date,InBurrow,x,y
tm14,253.69,4/7/2015 19:30,0,373348.46,8211591.192
tm14,219.58,4/7/2015 19:37,0,373383.154,8211526.668
tm14,218.24,4/7/2015 19:42,1,373417.5223,8211486.866
tm14,200.46,5/7/2015 18:42,0,373355.114,8211568.328
tm14,206.11,5/7/2015 18:47,0,373344.805,8211594.601
tm14,203.6,5/7/2015 18:52,0,373344.355,8211598.582
tm14,206.25,5/7/2015 18:57,0,373355.961,8211569.771
tm14,212.83,5/7/2015 19:02,0,373370.753,8211693.331
tm14,204.52,5/7/2015 19:07,0,373398.221,8211806.784
tm14,212.32,5/7/2015 19:17,0,373496.998,8212070.454
tm14,212.88,5/7/2015 19:22,0,373521.165,8212125.913
tm14,214.03,5/7/2015 19:27,0,373534.886,8212156.971
tm14,230.63,5/7/2015 19:32,0,373557.432,8212141.169
tm14,211.13,5/7/2015 19:37,0,373566.005,8212137.788
tm14,213.72,5/7/2015 19:43,0,373568.359,8212156.168
tm14,209.36,5/7/2015 19:48,0,373553.243,8212163.052
tm14,201.33,5/7/2015 19:53,0,373612.168,8212198.574
tm14,199.51,5/7/2015 19:58,0,373627.539,8212221.675
tm14,211.43,5/7/2015 20:03,0,373620.873,8212246.752
tm14,224.91,5/7/2015 20:08,0,373583.98,8212266.013
tm14,193.48,5/7/2015 20:13,0,373568.559,8212251.541
tm14,194.24,5/7/2015 20:18,1,373506.2231,8212273.282
tm14,212.75,6/7/2015 17:59,0,373573.572,8212309.434
tm14,218.15,6/7/2015 18:05,0,373607.521,8212300.114
tm14,216.63,6/7/2015 18:10,0,373641.383,8212212.903
tm14,214.58,6/7/2015 18:20,0,373819.368,8212258.07
tm14,214.41,6/7/2015 18:25,0,373816.755,8212228.957
tm14,210.89,6/7/2015 18:30,0,373823.255,8212083.724
tm14,208.92,6/7/2015 18:35,0,373814.356,8211994.83
tm14,214.42,6/7/2015 18:40,0,373821.486,8211963.449
tm14,208.02,6/7/2015 18:45,0,373861.496,8211885.235
tm14,202.5,6/7/2015 18:50,0,373862.399,8211876.942
tm14,208.11,6/7/2015 18:55,0,373864.863,8211876.182
tm14,205.49,6/7/2015 19:00,0,373859.922,8211880.136
tm14,219.17,6/7/2015 19:05,0,373875.469,8211872.591
tm14,204.59,6/7/2015 19:15,0,373870.778,8211832.955
tm14,203.46,6/7/2015 19:20,0,373909.395,8211867.143
tm14,202.36,6/7/2015 19:25,0,373883.105,8211883.478
tm14,236.47,6/7/2015 19:30,0,373873.942,8211859.085
tm14,203.89,6/7/2015 19:35,0,373855.342,8211895.71
tm14,209.78,6/7/2015 19:40,0,373849.679,8211969.585
tm14,212.62,6/7/2015 19:45,0,373846.647,8211994.794
tm14,213.72,6/7/2015 19:50,0,373831.773,8212015.398
tm14,214.66,6/7/2015 20:00,0,373603.06,8212146.189
tm14,233.7,6/7/2015 20:05,0,373564.355,8212145.856
tm14,234.44,6/7/2015 20:10,0,373607.18,8212210.605
tm14,225.29,6/7/2015 20:16,0,373635.54,8212243.517
tm14,215.65,6/7/2015 20:26,0,373915.491,8212295.907
tm14,217.02,6/7/2015 20:31,0,373986.361,8212318.331
tm14,219.36,6/7/2015 20:36,0,373989.473,8212335.055
tm14,203.98,6/7/2015 20:41,0,373967.425,8212338.69
tm14,216.53,6/7/2015 20:46,0,373960.266,8212375.161
tm14,222.64,6/7/2015 20:51,0,373971.34,8212439.174
tm14,214.13,6/7/2015 20:56,0,373976.183,8212452.478
tm14,216.15,6/7/2015 21:01,0,374003.817,8212462.926
tm14,214.78,6/7/2015 21:06,0,373997.881,8212435.121
tm14,214.03,6/7/2015 21:11,0,373999.687,8212399.838
tm14,250.51,6/7/2015 21:21,0,373739.427,8212195.322
tm14,199.35,6/7/2015 21:31,0,373846.262,8211912.807
tm14,219.58,6/7/2015 21:36,0,373903.73,8211848.081
tm14,197.64,6/7/2015 21:46,0,373892.429,8211823.786
tm14,182.48,6/7/2015 21:56,0,373873.455,8211794.911
tm14,205.5,6/7/2015 22:02,0,373869.034,8211782.715
tm14,211.04,6/7/2015 22:07,0,373859.545,8211796.712
tm14,206.82,6/7/2015 22:12,0,373899.778,8211828.696
tm14,209.3,6/7/2015 22:17,0,373901.071,8211826.933
tm14,209.41,6/7/2015 22:22,0,373895.729,8211826.349
tm14,207.18,6/7/2015 22:27,0,373906.219,8211843.006
tm14,206.02,6/7/2015 22:32,0,373895.547,8211857.991
tm14,208.9,6/7/2015 22:37,0,373886.183,8211850.082
tm14,241.64,6/7/2015 22:42,0,373866.609,8211851.298
tm14,187.39,6/7/2015 22:47,0,373841.758,8211915.105
tm14,202.19,6/7/2015 22:57,0,373861.398,8211976.955
tm14,190.18,6/7/2015 23:02,0,373841.694,8212000.74
tm14,198.64,6/7/2015 23:12,0,373705.724,8212106.063
tm14,193.73,6/7/2015 23:17,0,373594.092,8212143.814
tm14,212.96,6/7/2015 23:27,0,373548.066,8212133.481
tm14,216.2,6/7/2015 23:32,0,373535.72,8212160.849
tm14,212.85,6/7/2015 23:37,0,373546.9,8212261.927
tm14,224.36,6/7/2015 23:42,0,373502.344,8212275.058
